species	NCBI.taxid	dN	dS	dNdS
Vanessa_atalanta	42275	0.007327739406	0.1005936408	0.0728449566764264
Vanessa_tameamea	334116	0.009156768741	0.0944993578	0.0968976822083758
Clunio_marinus	568069	0.2628324447	3.089342865	0.0850771365256022
Polypedilum_vanderplanki	319348	0.204116349	2.434447421	0.0838450431252916
Chironomus_riparius	315576	0.2068583371	2.459988023	0.0840891643235452
Culex_pipiens	7175	0.0114874653	0.1080256372	0.106340176255864
Culex_quinquefasciatus	7176	0.01702292243	0.1530913001	0.111194577476843
Aedes_aegypti	7159	0.1432322367	1.792275724	0.0799164072703804
Sabethes_cyaneus	53552	0.1976550177	2.820069201	0.0700887118762587
Anopheles_cruzii	68878	0.1461114448	1.514905422	0.0964492189928937
Anopheles_darlingi	43151	0.03833047549	0.4981991154	0.0769380641296899
Anopheles_aquasalis	42839	0.03429919429	0.4044580327	0.0848028510177738
Anopheles_albimanus	7167	0.03730031454	0.4379051388	0.0851789833803156
Anopheles_sinensis	74873	0.1674341716	1.725678162	0.0970251436721838
Anopheles_nili	185578	0.1488965326	1.998341724	0.0745100454100312
Anopheles_merus	30066	0.008683443798	0.08741543188	0.0993353646061057
Anopheles_arabiensis	7173	0.005136804696	0.057086135	0.0899834030802751
Anopheles_coluzzii	1518534	0.003818654308	0.041325934	0.0924033394623337
Anopheles_gambiae	7165	0.009481377906	0.05255782115	0.180398991026286
Anopheles_maculipalpis	1496333	0.05694927998	0.7594429961	0.0749882219896083
Anopheles_stephensi	30069	0.04923091151	0.5582531789	0.0881874270864094
Anopheles_funestus	62324	0.05310050803	0.6536797309	0.0812332179198674
Anopheles_marshallii	1521116	0.02570751361	0.2705804994	0.0950087447802234
Anopheles_moucheti	186751	0.0305661193	0.3040446739	0.100531671572886
Phlebotomus_papatasi	29031	0.128524899	1.71437083	0.0749691354699496
Lutzomyia_longipalpis	7200	0.1368469168	1.845263629	0.074161173855771
Bradysia_coprophila	38358	0.3438379853	3.996736262	0.0860296909178442
Sitodiplosis_mosellana	263140	0.1103379771	1.331798668	0.0828488417590158
Contarinia_nasturtii	265458	0.1275128753	1.540767252	0.0827593363854802
Hermetia_illucens	343691	0.3170212387	3.862943382	0.0820672754814919
Episyrphus_balteatus	286459	0.07195731859	1.086538108	0.0662262262687247
Eupeodes_corollae	290404	0.08182638471	1.267386333	0.064563095387269
Glossina_fuscipes	7396	0.2760202148	3.249222022	0.0849496319214594
Stomoxys_calcitrans	35570	0.1244279507	1.844138364	0.0674721339401624
Musca_domestica	7370	0.1232936902	1.779505825	0.0692853535334733
Sarcophaga_bullata	7385	0.1382369656	1.837221998	0.0752423853788409
Lucilia_sericata	13632	0.01677773329	0.2685519907	0.0624748051439412
Lucilia_cuprina	7375	0.01919946265	0.2975618369	0.0645225975549151
Anastrepha_ludens	28586	0.007989893402	0.07374980821	0.108337819391327
Anastrepha_obliqua	95512	0.007407971099	0.06900603378	0.10735251242837
Ceratitis_capitata	7213	0.1296135883	1.700588741	0.0762168919357793
Zeugodacus_cucurbitae	28588	0.05488029419	0.651542975	0.0842312729870198
Bactrocera_oleae	104688	0.03728383786	0.3375749418	0.110446106162966
Bactrocera_neohumeralis	98809	0.002808690299	0.01559860355	0.180060368224436
Bactrocera_tryoni	59916	0.001968540328	0.01854617976	0.106142631715762
Bactrocera_dorsalis	27457	0.01547352908	0.1625669865	0.0951824808538233
Bactrocera_latifrons	174628	0.02482373694	0.2174631851	0.114151445581857
Scaptodrosophila_lebanonensis	7225	0.1570732346	1.830878604	0.0857911793042069
Drosophila_busckii	30019	0.181030588	2.108241336	0.0858680573750025
Zaprionus_bogoriensis	309927	0.138722312	1.381913467	0.100384224709202
Drosophila_innubila	198719	0.08005746254	1.119257996	0.0715272643359342
Drosophila_rubida	30044	0.06807257275	0.8251644235	0.0824957678874046
Drosophila_albomicans	7291	0.06093609657	0.884049642	0.068928365190153
Drosophila_grimshawi	7222	0.1210996678	1.247337805	0.0970865048061299
Drosophila_virilis	7244	0.01289205415	0.1604164502	0.0803661602904613
Drosophila_novamexicana	47314	0.01103821869	0.1318562028	0.0837140646825907
Drosophila_hydei	7224	0.04760727601	0.647625033	0.0735105556211568
Drosophila_navojoa	7232	0.02584348527	0.2677805862	0.0965099286574047
Drosophila_mojavensis	7230	0.008245329863	0.08816103898	0.0935257791695322
Drosophila_arizonae	7263	0.009919059567	0.09789347053	0.101325037444252
Drosophila_willistoni	7260	0.194815788	2.715587503	0.0717398308044872
Drosophila_obscura	7282	0.03194161267	0.2912338121	0.10967686904099
Drosophila_subobscura	7241	0.009565183121	0.1206496768	0.0792806360920148
Drosophila_guanche	7266	0.01568043597	0.1658502147	0.094545768290766
Drosophila_miranda	7229	0.008957342409	0.05370323509	0.166793348556909
Drosophila_persimilis	7234	0.003151005142	0.03304670165	0.0953500647469306
Drosophila_pseudoobscura	7237	0.005202653919	0.04194335753	0.124039996447085
Drosophila_setifemur	2848635	0.1039247998	1.04944337	0.0990284971736969
Drosophila_ironensis	2848634	0.152245745	1.217179773	0.125080738587002
Drosophila_bipectinata	42026	0.03703999244	0.5285084841	0.0700840072663651
Drosophila_ananassae	7217	0.008675328479	0.1074411643	0.0807449224468242
Drosophila_pandora	1867034	0.01291311567	0.1202301824	0.107403277714731
Drosophila_kikkawai	30033	0.03127792638	0.4144799638	0.0754630600071482
Drosophila_serrata	7274	0.02634239641	0.3890229249	0.0677142521016504
Drosophila_bunnanda	244254	0.02892098581	0.3360458333	0.0860626228452034
Drosophila_ficusphila	30025	0.06683573959	1.032808307	0.0647126278293964
Drosophila_rhopaloa	1041015	0.03797671202	0.5429693369	0.0699426458164695
Drosophila_gunungcola	103775	0.009325138355	0.11944274	0.0780720398326428
Drosophila_elegans	30023	0.01172953652	0.1365497897	0.085899337858885
Drosophila_takahashii	29030	0.02834937098	0.3785324895	0.0748928342120551
Drosophila_pseudotakahashii	193234	0.02150929849	0.2787269198	0.0771697922304525
Drosophila_biarmipes	125945	0.03334119215	0.4028549293	0.0827622792351917
Drosophila_subpulchrella	1486046	0.01042258006	0.1475188701	0.0706525209482336
Drosophila_suzukii	28584	0.0135221718	0.1889307782	0.0715720960281314
Drosophila_eugracilis	29029	0.0677194814	1.164966067	0.0581300033694458
Drosophila_melanogaster	7227	0.01721612825	0.1903963317	0.0904225837561134
Drosophila_sechellia	7238	0.007182307025	0.06724172982	0.106813239995854
Drosophila_simulans	7240	0.004777145468	0.05592169483	0.0854256202806863
Drosophila_mauritiana	7226	0.005393931152	0.05973503186	0.0902976190695213
Drosophila_erecta	7220	0.02616477748	0.2613195256	0.100125612198035
Drosophila_teissieri	7243	0.01213184401	0.1417429234	0.0855904740708911
Drosophila_santomea	129105	0.005247851471	0.06768114265	0.0775378674993455
Drosophila_yakuba	7245	0.005537477939	0.07898451904	0.0701083960034708
